CA #,WHTPOP,WHT,BLKPOP,BLK,NAPOP,NA,ASPOP,AS,OTHPOP,OTH,LATPOP,LAT,MULPOP,MUL,TOTPOP
CA 56,18372,53.23,2040,5.91,29,0.08,346,1.00,33,0.10,13515,39.16,178,0.52,34513
CA 57,2874,21.46,130,0.97,15,0.11,138,1.03,11,0.08,10182,76.02,43,0.32,13393
CA 58,3682,8.12,542,1.19,40,0.09,2252,4.96,44,0.10,38693,85.29,115,0.25,45368
CA 59,2667,17.08,234,1.50,23,0.15,2445,15.66,11,0.07,10111,64.76,121,0.78,15612
CA 60,11225,35.10,672,2.10,41,0.13,11038,34.52,37,0.12,8627,26.98,337,1.05,31977
CA 61,4697,10.58,13148,29.63,58,0.13,727,1.64,55,0.12,25431,57.31,261,0.59,44377
CA 62,3250,17.95,255,1.41,15,0.08,222,1.23,13,0.07,14314,79.04,40,0.22,18109
CA 63,1892,4.74,2161,5.42,23,0.06,121,0.30,34,0.09,35589,89.21,74,0.19,39894
CA 64,11921,51.52,282,1.22,27,0.12,212,0.92,38,0.16,10484,45.31,175,0.76,23139
CA 65,4924,14.76,1390,4.17,28,0.08,210,0.63,21,0.06,26669,79.96,113,0.34,33355
CA 66,2419,4.35,27403,49.26,72,0.13,190,0.34,84,0.15,25141,45.19,319,0.57,55628
CA 67,130,0.37,34178,96.26,67,0.19,19,0.05,28,0.08,774,2.18,309,0.87,35505
CA 68,105,0.34,29847,97.37,53,0.17,34,0.11,24,0.08,325,1.06,266,0.87,30654
CA 69,180,0.55,31590,96.90,77,0.24,21,0.06,32,0.10,388,1.19,314,0.96,32602
CA 70,6251,15.22,18976,46.19,45,0.11,276,0.67,27,0.07,15132,36.83,374,0.91,41081
CA 71,134,0.27,47661,97.78,81,0.17,33,0.07,26,0.05,459,0.94,349,0.72,48743
CA 72,11785,58.82,6838,34.13,23,0.11,112,0.56,40,0.20,915,4.57,321,1.60,20034
CA 73,121,0.46,25793,97.36,36,0.14,12,0.05,22,0.08,258,0.97,251,0.95,26493
CA 74,16413,85.96,987,5.17,34,0.18,126,0.66,9,0.05,1382,7.24,142,0.74,19093
CA 75,6473,28.71,15039,66.71,11,0.05,92,0.41,32,0.14,619,2.75,278,1.23,22544
CA 76,9845,77.18,403,3.16,15,0.12,1058,8.29,26,0.20,1212,9.50,197,1.54,12756
CA 77,30889,54.65,8104,14.34,98,0.17,6582,11.65,153,0.27,9318,16.49,1377,2.44,56521
